Algorithm,Data Structure, Mean Time
Quick,LinkedList,518.5
Bubble,LinkedList,1.7
Selection,LinkedList,756.7
Insertion,LinkedList,2.6
Quick,DoublyLinkedList,179.1
Bubble,DoublyLinkedList,0.9
Selection,DoublyLinkedList,353.3
Insertion,DoublyLinkedList,1.4
Iterative Binary Search, ArrayList,0.1
Recursive Binary Search, ArrayList,0.0
Linear Search, ArrayList,0.0
Iterative Binary Search, LinkedList,0.0
Recursive Binary Search, LinkedList,0.0
Linear Search, LinkedList,0.5
Iterative Binary Search, DoublyLinkedList,0.1
Recursive Binary Search, DoublyLinkedList,0.1
Linear Search, DoublyLinkedList,0.2
Algorithm,Data Structure, Mean Time
Quick,ArrayList,1.3
Bubble,ArrayList,0.0
Selection,ArrayList,4.4
Insertion,ArrayList,0.1
Quick,LinkedList,40.0
Bubble,LinkedList,1.6
Selection,LinkedList,755.0
Insertion,LinkedList,2.4
Quick,DoublyLinkedList,15.3
Bubble,DoublyLinkedList,0.9
Selection,DoublyLinkedList,353.2
Insertion,DoublyLinkedList,1.2
Iterative Binary Search, ArrayList,0.0
Recursive Binary Search, ArrayList,0.0
Linear Search, ArrayList,0.0
Iterative Binary Search, LinkedList,0.0
Recursive Binary Search, LinkedList,0.0
Linear Search, LinkedList,0.2
Iterative Binary Search, DoublyLinkedList,0.0
Recursive Binary Search, DoublyLinkedList,0.0
Linear Search, DoublyLinkedList,0.2
Algorithm,Data Structure, Mean Time
Quick,ArrayList,4.0
Bubble,ArrayList,0.0
Selection,ArrayList,1.8
Insertion,ArrayList,0.1
Quick,LinkedList,529.4
Bubble,LinkedList,0.2
Selection,LinkedList,794.9
Insertion,LinkedList,2.7
Quick,DoublyLinkedList,188.1
Bubble,DoublyLinkedList,0.1
Selection,DoublyLinkedList,371.5
Insertion,DoublyLinkedList,1.4
Iterative Binary Search, ArrayList,0.1
Recursive Binary Search, ArrayList,0.0
Linear Search, ArrayList,0.0
Iterative Binary Search, LinkedList,0.0
Recursive Binary Search, LinkedList,0.0
Linear Search, LinkedList,0.3
Iterative Binary Search, DoublyLinkedList,0.0
Recursive Binary Search, DoublyLinkedList,0.0
Linear Search, DoublyLinkedList,0.3
Algorithm,Data Structure, Mean Time
Quick,ArrayList,3.8
Bubble,ArrayList,0.0
Selection,ArrayList,1.9
Insertion,ArrayList,0.1
Quick,LinkedList,543.4
Bubble,LinkedList,0.2
Selection,LinkedList,796.1
Insertion,LinkedList,2.7
Quick,DoublyLinkedList,188.2
Bubble,DoublyLinkedList,0.1
Selection,DoublyLinkedList,361.4
Insertion,DoublyLinkedList,1.3
Iterative Binary Search, ArrayList,0.0
Recursive Binary Search, ArrayList,0.0
Linear Search, ArrayList,0.1
Iterative Binary Search, LinkedList,0.0
Recursive Binary Search, LinkedList,0.0
Linear Search, LinkedList,0.3
Iterative Binary Search, DoublyLinkedList,0.0
Recursive Binary Search, DoublyLinkedList,0.0
Linear Search, DoublyLinkedList,0.3
Algorithm,Data Structure, Mean Time
Quick,ArrayList,1.6
Bubble,ArrayList,0.1
Selection,ArrayList,3.8
Insertion,ArrayList,0.2
Quick,LinkedList,41.1
Bubble,LinkedList,1.8
